Task,Area,Cutoff
wd,3.4230684103920486,0.1
int,3.9028638999997765,0.1
wd,3.035368231631479,0.15
int,3.5970497672567343,0.15
wd,2.498797404902655,0.2
int,3.204329851833198,0.2
wd,2.3886610769782477,0.25
int,3.003401301488372,0.25
wd,3.002709956139517,0.1
int,3.7964497455638067,0.1
wd,2.7985671753492447,0.15
int,3.5512263829824313,0.15
wd,2.5340557941252846,0.2
int,3.296560087520363,0.2
wd,2.390959570869891,0.25
int,3.100949131078444,0.25
wd,4.204127534625412,0.1
int,4.244624354572868,0.1
wd,3.969756473602206,0.15
int,4.03484347894266,0.15
wd,3.765994804347634,0.2
int,3.8573595910491383,0.2
wd,3.4075900090049123,0.25
int,3.600412211277579,0.25
wd,3.9184056442521142,0.1
int,3.6598931251526867,0.1
wd,3.1321000078246057,0.15
int,3.44954082066937,0.15
wd,2.1532829962299984,0.2
int,3.0632717708538166,0.2
wd,1.9382488265672349,0.25
int,2.5530114448168555,0.25
